CMDLINE /opt/anaconda3/envs/classifier/bin/python3.11 prot2.py
MEM 3896.546875 1747317011.3848
MEM 3880.437500 1747317011.4924
MEM 3862.515625 1747317011.6022
MEM 3856.890625 1747317011.7124
MEM 3804.781250 1747317011.8281
MEM 3809.937500 1747317011.9418
MEM 3798.578125 1747317012.0543
MEM 3806.859375 1747317012.1679
MEM 3811.953125 1747317012.2762
MEM 3804.921875 1747317012.3875
MEM 3813.093750 1747317012.4958
MEM 3811.156250 1747317012.6096
MEM 3806.546875 1747317012.7199
MEM 3774.796875 1747317012.8309
MEM 3794.156250 1747317012.9418
MEM 3797.265625 1747317013.0539
MEM 3784.796875 1747317013.1657
MEM 3762.921875 1747317013.2794
MEM 3762.203125 1747317013.3902
MEM 3713.750000 1747317013.5036
MEM 3697.015625 1747317013.6171
MEM 3660.046875 1747317013.7297
MEM 3647.843750 1747317013.8423
MEM 3638.265625 1747317013.9530
MEM 3617.890625 1747317014.0648
MEM 3600.203125 1747317014.1780
MEM 3601.281250 1747317014.2935
MEM 3592.265625 1747317014.4062
MEM 3577.421875 1747317014.5171
MEM 3566.453125 1747317014.6302
MEM 3551.578125 1747317014.7426
MEM 3516.187500 1747317014.8558
MEM 3493.828125 1747317014.9658
MEM 3485.171875 1747317015.0785
MEM 3485.187500 1747317015.1877
MEM 3487.906250 1747317015.2990
MEM 3485.265625 1747317015.4134
MEM 3484.843750 1747317015.5265
MEM 3456.562500 1747317015.6380
MEM 3461.140625 1747317015.7544
MEM 3451.406250 1747317015.8681
MEM 3451.140625 1747317015.9786
MEM 3455.093750 1747317016.0921
MEM 3458.703125 1747317016.2040
MEM 3462.531250 1747317016.3136
MEM 3466.531250 1747317016.4271
MEM 3466.609375 1747317016.5398
MEM 3460.625000 1747317016.6510
MEM 3459.328125 1747317016.7650
MEM 3460.375000 1747317016.8757
MEM 3458.343750 1747317016.9868
MEM 3466.250000 1747317017.0983
MEM 3450.687500 1747317017.2134
MEM 3456.937500 1747317017.3242
MEM 3455.250000 1747317017.4378
MEM 3459.781250 1747317017.5512
MEM 3456.656250 1747317017.6614
MEM 3454.562500 1747317017.7714
MEM 3451.375000 1747317017.8861
MEM 3443.171875 1747317017.9997
MEM 3461.984375 1747317018.1151
MEM 3469.093750 1747317018.2265
MEM 3458.312500 1747317018.3380
MEM 3453.890625 1747317018.4530
MEM 3436.125000 1747317018.5657
MEM 3418.062500 1747317018.6794
MEM 3424.500000 1747317018.7923
MEM 3425.203125 1747317018.9028
MEM 3421.375000 1747317019.0130
MEM 3423.375000 1747317019.1234
MEM 3439.828125 1747317019.2301
MEM 3446.515625 1747317019.3429
MEM 3458.687500 1747317019.4545
MEM 3460.343750 1747317019.5693
MEM 3462.187500 1747317019.6827
MEM 3472.218750 1747317019.7939
MEM 3466.750000 1747317019.9068
MEM 3467.781250 1747317020.0178
MEM 3464.093750 1747317020.1304
MEM 3468.015625 1747317020.2434
